NAME                        INSTALLED             FIXED-IN                  TYPE          VULNERABILITY        SEVERITY 
openssl-libs                1:1.1.1k-6.el8_5      1:1.1.1k-9.el8_7          rpm           ELSA-2023-1405       High      
openssl-libs                1:1.1.1k-6.el8_5      1:1.1.1k-7.el8_6          rpm           ELSA-2022-5818       Medium    
openssl-libs                1:1.1.1k-6.el8_5      1:1.1.1k-12.el8_9         rpm           ELSA-2023-7877       Low       
pcre2                       10.32-2.el8           0:10.32-3.el8_6           rpm           ELSA-2022-5809       Medium    
perl-Git                    2.27.0-1.el8          0:2.39.3-1.el8_8          rpm           ELSA-2023-3246       High      
perl-Git                    2.27.0-1.el8          0:2.31.1-3.el8_7          rpm           ELSA-2023-0610       High      
perl-Git                    2.27.0-1.el8          0:2.39.1-1.el8            rpm           ELSA-2023-2859       Medium    
perl-HTTP-Tiny              0.074-1.el8           0:0.074-2.el8             rpm           ELSA-2023-7174       Medium    
platform-python             3.6.8-41.0.1.el8      0:3.6.8-51.0.1.el8_8.2    rpm           ELSA-2023-5997       High      
platform-python             3.6.8-41.0.1.el8      0:3.6.8-51.0.1.el8_8.1    rpm           ELSA-2023-3591       High      
platform-python             3.6.8-41.0.1.el8      0:3.6.8-56.0.1.el8_9.3    rpm           ELSA-2024-0256       Medium    
platform-python             3.6.8-41.0.1.el8      0:3.6.8-56.0.1.el8_9.2    rpm           ELSA-2024-0114       Medium    
platform-python             3.6.8-41.0.1.el8      0:3.6.8-56.0.1.el8_9      rpm           ELSA-2023-7151       Medium    
platform-python             3.6.8-41.0.1.el8      0:3.6.8-48.0.1.el8_7.1    rpm           ELSA-2023-0833       Medium    
platform-python             3.6.8-41.0.1.el8      0:3.6.8-47.0.1.el8_6      rpm           ELSA-2022-6457       Medium    
platform-python             3.6.8-41.0.1.el8      0:3.6.8-45.0.1.el8        rpm           ELSA-2022-1986       Medium    
platform-python-setuptools  39.2.0-6.el8          0:39.2.0-6.el8_7.1        rpm           ELSA-2023-0835       Medium    
plexus-archiver             3.4                   4.8.0                     java-archive  GHSA-wh3p-fphp-9h2m  High      
plexus-archiver             3.4                   3.6.0                     java-archive  GHSA-hcxq-x77q-3469  Medium    
plexus-utils                1.5.15                3.0.16                    java-archive  GHSA-8vhq-qq4p-grq3  Critical  
plexus-utils                1.5.15                3.0.24                    java-archive  GHSA-g6ph-x5wf-g337  High      
plexus-utils                1.5.15                3.0.24                    java-archive  GHSA-jcwr-x25h-x5fh  Medium    
plexus-utils                2.0.4                 3.0.16                    java-archive  GHSA-8vhq-qq4p-grq3  Critical  
plexus-utils                2.0.4                 3.0.24                    java-archive  GHSA-g6ph-x5wf-g337  High      
plexus-utils                2.0.4                 3.0.24                    java-archive  GHSA-jcwr-x25h-x5fh  Medium    
python3-libs                3.6.8-41.0.1.el8      0:3.6.8-51.0.1.el8_8.2    rpm           ELSA-2023-5997       High      
python3-libs                3.6.8-41.0.1.el8      0:3.6.8-51.0.1.el8_8.1    rpm           ELSA-2023-3591       High      
python3-libs                3.6.8-41.0.1.el8      0:3.6.8-56.0.1.el8_9.3    rpm           ELSA-2024-0256       Medium    
python3-libs                3.6.8-41.0.1.el8      0:3.6.8-56.0.1.el8_9.2    rpm           ELSA-2024-0114       Medium    
python3-libs                3.6.8-41.0.1.el8      0:3.6.8-56.0.1.el8_9      rpm           ELSA-2023-7151       Medium    
python3-libs                3.6.8-41.0.1.el8      0:3.6.8-48.0.1.el8_7.1    rpm           ELSA-2023-0833       Medium    
python3-libs                3.6.8-41.0.1.el8      0:3.6.8-47.0.1.el8_6      rpm           ELSA-2022-6457       Medium    
python3-libs                3.6.8-41.0.1.el8      0:3.6.8-45.0.1.el8        rpm           ELSA-2022-1986       Medium    
python3-pip-wheel           9.0.3-20.el8          0:9.0.3-23.el8            rpm           ELSA-2023-7176       Medium    
python3-setuptools-wheel    39.2.0-6.el8          0:39.2.0-6.el8_7.1        rpm           ELSA-2023-0835       Medium    
setuptools                  39.2.0                65.5.1                    python        GHSA-r9hx-vwmv-q579  High      
shadow-utils                2:4.6-14.el8          2:4.6-19.el8              rpm           ELSA-2023-7112       Low       
sqlite-libs                 3.26.0-15.el8         0:3.26.0-19.0.1.el8_9     rpm           ELSA-2024-0253       Medium    
sqlite-libs                 3.26.0-15.el8         0:3.26.0-18.0.1.el8_8     rpm           ELSA-2023-3840       Medium    
sqlite-libs                 3.26.0-15.el8         0:3.26.0-17.el8_7         rpm           ELSA-2023-0110       Medium    
sqlite-libs                 3.26.0-15.el8         0:3.26.0-16.el8_6         rpm           ELSA-2022-7108       Medium    
systemd-libs                239-51.0.1.el8_5.5    0:239-58.0.1.el8_6.4      rpm           ELSA-2022-6206       High      
systemd-libs                239-51.0.1.el8_5.5    0:239-74.0.4.el8_8.2      rpm           ELSA-2023-3837       Medium    
systemd-libs                239-51.0.1.el8_5.5    0:239-68.0.2.el8_7.4      rpm           ELSA-2023-0837       Medium    
systemd-libs                239-51.0.1.el8_5.5    0:239-68.0.2.el8_7.1      rpm           ELSA-2023-0100       Medium    
tar                         2:1.30-5.el8          2:1.30-6.el8_7.1          rpm           ELSA-2023-0842       Medium    
xz-libs                     5.2.4-3.el8           0:5.2.4-4.el8_6           rpm           ELSA-2022-4991       High      
zlib                        1.2.11-17.el8         0:1.2.11-18.el8_5         rpm           ELSA-2022-1642       High      
zlib                        1.2.11-17.el8         0:1.2.11-19.el8_6         rpm           ELSA-2022-7106       Medium
